Beryll|+Beryll
Instore plc|Instore
01 Communique|01 Communique Laboratory Inc.
07th Expansion|Trianthology
Obafuro|0verflow
Free411|Jingle Networks
1800Flowers.com|1800 flowers
1-800-GOT-JUNK%3F|1 800 got junk
1-800 Contacts|1800contacts
1-UP Studio|Brownie Brown
1000Bulbs|1000Bulbs.com
108 Shop|108shop
11 bit studios|Anomaly Korea
121Systems|121 Systems
123RF.com|123RF
123 Money|123.ie insurance
12 Yard Productions|12 Yard
12 bis|12bis
13CABS|taxicars.com.au
13cm|130cm
17-Bit Games|17-BIT
Dial-A-Mattress|Dial-a-Mattress
I-CD|192.com
19 Entertainment Ltd.|19 Entertainment
The Truth About 9th Company|1C Company
1-E|1e
1 Malaysia Development Bhd|1Malaysia Development Berhad
1Malaysia People's Housing Programme|Perumahan Rakyat 1Malaysia  Berhad
1QBit|1QB Information Technologies
1st Constitution Bank|1st Constitution Bancorp
1st Source Bank|First Source Bank
First Voice International|1worldspace
2.13.61|2 13 61
Trainwreck Studios|Tom Kudirka
Twentieth Century Fox|Twentieth Century Fox UK
FOX Home Video|FoxVideo
20th Century Fox TV|20th Century-Fox Television
Twentieth Television|Twentieth Television, Inc.
21st Century Pictures Corporation|21st Century Film
Twenty-First Century Fox, Inc.|Twenty-First Century Fox, Inc
21st century Insurance|21st Century Premier Insurance Company
21st Century Media|Journal Register Company
22Cans|22cans
The Glenview Lantern|Tinley junction
23 and me|23andme
[24]7 Inc.|247 Customer
247 Realmedia|7 Real Media
24SevenOffice.com|24SevenOffice
24 hour fitness|24 Hour Fitness USA
2929 Entertainment|2929 Productions
2GO Travel|2GO
2GO Group|2GO Group Inc.
LS3D engine|Illusion Softworks
2k games|2K Games
Global Star Software|2K Play
2K Sports|2k Sports
RTENL|RTE Networks Limited
2Spot Communications|2Spot
2tor|2tor, Inc.
2Wire MediaPortal|2Wire
2X Mobile Device Management|2X Mobile Device management
2entertain|2 Entertain
2Degrees|NZ Communications
AMW Cuyuna Engine Company|Two Stroke International
32Red|32red
Halo: Waypoint|343 Industries
361 Degrees|361 degrees
38 Studios|Green Monster Games
CommWorks|Comm Works
3D Entertainment Distribution|3D Entertainment
3DRealms|3DRealm
3D Systems Inc|Cubify
SpaceNavigator|Space navigator
3Dlabs|3D Labs
3Dponics Inc.|3Dponics Inc
3G Studios, Inc.|3G Studios
3h biomedical|3H Biomedical
Peltor|3M Corporation
3pd|3PD, Inc.
Wytwornia i Naprawa Konstrukcji Lekkich|Wytwornia i Naprawa Konstrukcji Lekkich - A. Kurbiel
Amoi 8512|Three Skypephone Series
3ality Technica|3ality
3DFX|3Dfx Voodoo
3dvia composer|3DVIA
ICFC|3i Investments plc
3i Infotech|3i Infotech Limited
40 Acres and a Mule Filmworks|40 Acres & A Mule Filmworks
Dr. Robert Lewin|1-800-411-PAIN
4orty 2wo|4orty 2wo Entertainment
430 West|430 West Records
44 Blue|44 Blue Productions
454 Life Sciences|454 life sciences
4frnt|4FRNT Skies
4frontiers Corporation|4Frontiers Corporation
4J Studios|4J Games
4Kids Productions|4K Media Inc
4Licensing|4kidsent.com
4 you airline|4YOU Airlines
4 Digital Group|E4 Radio
4i2i|4i2i Communications
Gary foreman|4mm Games
4th Street Food Co-op|4th Street Food Coop
505 Gamestreet|505 Game Street
Vattenfall Europe Transmission|50Hertz
51give|51Give
51 Minds|51 Minds Entertainment
55dsl|55 DSL
59 Productions|Cinema 59 Productions
5N Plus|5N Plus Inc.
5rocks|5Rocks
5by5|5by5 Studios
5bp.|5pb. Records
5TH Cell|5th Cell
In-Sink|615 Music
6Gmobile|Tringg
Six Point Harness|6 Point Harness
Seven-Eleven|7-11
759 Store|759Store
76 gas|UNION 76
7days Inn|7 Days Group Holding Ltd
7digital.com|7digital
7th Level|7th-level
8-4|8-4 Play
84 Lumber|84 lumber
85C Bakery Cafe|85 degrees C
Casino on net|Cassava Enterprises
888 Casino|888casino
888poker|888 poker
888sport.com|888sport
88 RUE DU RHONE|88 Rue du Rhone
Integrated Information Technology|8x8
Sony Interactive Studios America|989 Studios
99Acres.com|99acres.com
99 Cents Only Stores|99 Cents Only Store
99 Ranch Supermarket|Tawa Supermarket
99p store|99p Stores Ltd.
9 Story Entertainment|9 Story Enterprises
9ff|9FF
At Home Network|@Home Corporation
@UK|@UK plc
Kosmix|@WalmartLabs
A&B Sound|A & B Sound
A&D Company|A&D Company, Limited
Lifetime Entertainment|A&E Networks
A&P Canada|A&p canada
A&P Tyne|A&P Tees
Arap Turk Bankasi|A&T Bank
A&W Food Services of Canada Inc.|A&W Food Services of Canada, Inc.
Baby Burger|A&W All-American Food Restaurant
A+B Kasha|A+b kasha
A-1 Express Delivery Service, Inc.|A-1 Express Delivery Service
A1 Pictures|A-1 Pictures Inc.
AB Emblem|A-B Emblem
A-Z-store|A-Z
A-dec|Austin Dental Equipment Company
A. B. Dick company|A. B. Dick
A. C. Moore|AC Moore
ADV Music|A.D. VISION, INC.
Hom Tov|A.F.S.K. Hom Tov
A.F. Blakemore|A.F. Blakemore & Son Ltd
Barr Pineapple|AG Barr
Canfield's|A.J. Canfield Company
AKOO|A.K.O.O Clothing
KB KhIMMASH|A.M. Isayev Chemical Engineering Design Bureau
APPP|Another Push Pin Planning
AS Watson|AS Watson Group
A.T. Kearney|A T Kearney
A.A. Arms|A. A. Arms
A.A. Turki Group|A. A. Turki Group
A. E. Goodwin|AE Goodwin
A. Film Production A/S|A Film
AG Becker|A.G. Becker Paribas
A.G. Edwards, Inc.|A g edwards
A H Belo Corp.|The A.H. Belo Corporation
AH Wheeler|A.H. Wheeler & Co
A. Lange & Sohne|Lange & Sohne
A. Le Coq|A.Le Coq
A M Best|AM Best
A.O. Smith Corporation|A.O. Smith
Reyrolle|Reyrolles
Polyfort|A. Schulman, Inc.
A.T. Cross Company|A.T. Cross
Uberti|A. Uberti, Srl.
A. W. Jenkinson|AW Jenkinson
A. Zerega's Sons, Inc.|Zerega
A10 Networks|A10Networks
A123 Systems|Battery range extender module
Mobilkom austria|Mobilkom Austria
A24 Films|A24
A2A|A2A S.p.A.
A2A Simulations Inc.|Shockwave Productions, Inc.
A2z group|A2Z Group
American Armed Forces Mutual Aid Association|AAFMAA
AAMCO|AAMCO Transmissions Franchise
AAMI|Australian Associated Motor Insurers Limited
AAON, Inc.|AAON
AAR Corporation|AAR corporation
BulletML|Titanion
ABBYY Lingvo|PDF Transformer
AusBulk|Ausbulk
ABB Zamech|Asea Brown Boveri
ABC Capital Bank|ABC Bank
W.R.Glen|ABC Cinemas
Fox Kids Worldwide|Freeform Worldwide Inc.
ABCislamic|ABC Islamic Bank
A.B.C. Learning Centres Limited|Asx:abs
ABC Motors|All British Engine Compan
Walt Disney Television Stations|ABC O&O stations
